Price,Close,High,Low,Open,Volume
Ticker,OMG-USD,OMG-USD,OMG-USD,OMG-USD,OMG-USD
Date,,,,,
2022-01-01,6.111982822418213,6.112687110900879,5.8796820640563965,5.8915839195251465,212281676
2022-01-02,6.296436786651611,6.461544036865234,6.081951141357422,6.110732078552246,286531212
2022-01-03,6.187578201293945,6.442467212677002,6.104453086853027,6.296651840209961,335366029
2022-01-04,6.035470008850098,6.2455339431762695,6.026158809661865,6.187623023986816,285595034
2022-01-05,5.606555938720703,6.233709812164307,5.396853923797607,6.037176132202148,325679959
2022-01-06,5.6541748046875,5.691425800323486,5.424431800842285,5.6052470207214355,291146897
2022-01-07,5.506843090057373,5.676609039306641,5.247762203216553,5.653570175170898,316226503
2022-01-08,5.372681140899658,5.8695878982543945,5.199379920959473,5.507309913635254,321724157
2022-01-09,5.374420166015625,5.489614963531494,5.322290897369385,5.372962951660156,178439754
2022-01-10,5.106259822845459,5.407561779022217,4.916725158691406,5.3735198974609375,259213755
2022-01-11,5.3192667961120605,5.397496223449707,5.05919885635376,5.105912208557129,196148374
2022-01-12,5.874508857727051,6.0302557945251465,5.320149898529053,5.320149898529053,418008120
2022-01-13,5.954617977142334,6.320010185241699,5.874046802520752,5.874046802520752,546214609
2022-01-14,6.035728931427002,6.254860877990723,5.836222171783447,5.954413890838623,313592215
2022-01-15,6.764503002166748,6.824176788330078,6.035491943359375,6.035868167877197,569458853
2022-01-16,6.569784164428711,6.883644104003906,6.3641557693481445,6.762126922607422,390595301
2022-01-17,6.242539882659912,6.5769782066345215,6.009027004241943,6.567469120025635,293622933
2022-01-18,5.926949977874756,6.28254508972168,5.768294811248779,6.242403030395508,285683930
2022-01-19,5.472830772399902,5.931305885314941,5.472113132476807,5.930840969085693,215654622
2022-01-20,5.224002838134766,5.848010063171387,5.224002838134766,5.471963882446289,204151578
2022-01-21,4.7046380043029785,5.329820156097412,4.585978984832764,5.225330829620361,401542499
2022-01-22,4.235287189483643,4.882938861846924,3.9984540939331055,4.706033229827881,546670999
2022-01-23,4.418351173400879,4.495711803436279,4.177909851074219,4.237901210784912,319541662
2022-01-24,4.12122917175293,4.423984050750732,3.712549924850464,4.4193220138549805,444578667
2022-01-25,4.222091197967529,4.287693977355957,3.9153668880462646,4.1206440925598145,289505363
2022-01-26,4.231945037841797,4.555440902709961,4.136061191558838,4.221500873565674,315525853
2022-01-27,4.218515872955322,4.406393051147461,4.04493522644043,4.230903148651123,364297757
2022-01-28,4.580824851989746,4.613493919372559,4.215585231781006,4.217803955078125,402526393
2022-01-29,4.86155891418457,4.911919116973877,4.570738792419434,4.5811591148376465,321329232
2022-01-30,4.834465026855469,4.991112232208252,4.705863952636719,4.86348819732666,246228394
2022-01-31,5.015777111053467,5.117166996002197,4.564826011657715,4.834342002868652,317639656
2022-02-01,4.903554916381836,5.043614864349365,4.787548065185547,5.015997886657715,194921096
2022-02-02,4.63496208190918,4.956080913543701,4.599093914031982,4.903037071228027,159730372
