Price,Close,High,Low,Open,Volume
Ticker,YFI-USD,YFI-USD,YFI-USD,YFI-USD,YFI-USD
Date,,,,,
2022-01-01,36415.28515625,38373.72265625,32603.060546875,32983.6171875,507930602
2022-01-02,39119.18359375,39256.5234375,35763.4609375,36443.13671875,523764817
2022-01-03,38805.63671875,41470.27734375,38129.20703125,39123.27734375,643801255
2022-01-04,36267.66015625,39544.1796875,36168.21484375,38797.9453125,381261340
2022-01-05,32744.177734375,37311.703125,31314.787109375,36273.48046875,397271319
2022-01-06,36083.78515625,36891.546875,31363.37890625,32740.8359375,530498221
2022-01-07,35691.65234375,36881.73828125,31522.8359375,36076.12109375,767322628
2022-01-08,33199.30078125,36509.71875,32243.2578125,35698.859375,352407452
2022-01-09,32666.76171875,35186.38671875,32575.990234375,33201.9453125,310686504
2022-01-10,32067.833984375,32705.7890625,29932.505859375,32666.2109375,337107544
2022-01-11,32764.001953125,33251.08984375,31682.96875,32061.541015625,250492618
2022-01-12,33784.90625,34625.92578125,32633.498046875,32767.845703125,241191464
2022-01-13,31428.154296875,34128.96875,31262.623046875,33785.18359375,220170555
2022-01-14,32244.44140625,32914.53515625,31107.5,31427.9140625,197923020
2022-01-15,33482.90625,33749.05078125,31783.35546875,32244.017578125,171601011
2022-01-16,33625.5,34075.73046875,33184.8046875,33482.1171875,169660987
2022-01-17,31607.599609375,33651.3359375,31274.802734375,33625.52734375,173992275
2022-01-18,32604.828125,33389.01953125,31179.51171875,31609.26171875,265399197
2022-01-19,32228.498046875,33436.75390625,31327.625,32604.447265625,256810310
2022-01-20,31351.490234375,34224.1484375,31350.818359375,32220.67578125,219252943
2022-01-21,25678.2265625,31380.0234375,25495.806640625,31365.08203125,274237143
2022-01-22,22823.640625,26506.34375,20699.5,25695.06640625,360119768
2022-01-23,25043.599609375,25045.04296875,22760.595703125,22832.326171875,205574713
2022-01-24,23971.47265625,25066.255859375,21545.498046875,25052.11328125,232686013
2022-01-25,24484.998046875,24878.580078125,23483.607421875,23972.009765625,187931826
2022-01-26,24255.30859375,25975.8671875,23628.33984375,24483.48828125,206198975
2022-01-27,23889.27734375,24726.099609375,23135.9765625,24251.71875,139269789
2022-01-28,23490.9765625,24092.474609375,22455.681640625,23878.41796875,132108699
2022-01-29,24237.916015625,24590.15625,23472.923828125,23490.376953125,132443410
2022-01-30,23836.328125,25503.91015625,23550.013671875,24248.341796875,129225759
2022-01-31,24806.55078125,24812.69921875,22995.564453125,23831.5234375,115852924
2022-02-01,25450.8046875,25456.6328125,24685.546875,24804.451171875,120038020
2022-02-02,23016.623046875,25588.26171875,22973.1484375,25448.841796875,135143541
2022-02-03,23471.755859375,23471.755859375,22573.919921875,23012.142578125,107194932
2022-02-04,24820.009765625,24820.009765625,23465.638671875,23465.638671875,133389052
2022-02-05,25175.70703125,25758.212890625,24751.61328125,24824.01953125,149700645
2022-02-06,24611.66015625,25351.390625,23900.935546875,25179.6953125,123205329
2022-02-07,26550.396484375,27002.240234375,24089.5234375,24614.67578125,190738214
2022-02-08,25543.232421875,26992.638671875,24873.84765625,26563.5078125,169722796
2022-02-09,26276.833984375,26842.013671875,24904.8984375,25536.30078125,105052586
2022-02-10,24436.845703125,26294.580078125,24399.080078125,26277.39453125,144822890
2022-02-11,23081.802734375,24986.52734375,22818.228515625,24442.625,110621019
2022-02-12,23148.65234375,23756.892578125,22760.837890625,23083.189453125,87392571
2022-02-13,22968.728515625,23613.828125,22743.8671875,23142.599609375,54831724
2022-02-14,23122.326171875,23212.0078125,22507.689453125,22949.927734375,69801708
2022-02-15,24452.783203125,24488.376953125,23060.9453125,23121.490234375,109887036
2022-02-16,23744.033203125,24468.849609375,23214.271484375,24455.755859375,91410980
2022-02-17,22387.9609375,23933.130859375,22141.283203125,23731.69140625,98197841
2022-02-18,21984.98046875,23004.1015625,21814.0,22398.37890625,80490536
2022-02-19,21690.462890625,22200.2421875,21402.63671875,21980.54296875,54914535
2022-02-20,20728.01171875,21689.228515625,20171.43359375,21689.228515625,107006850
2022-02-21,19735.21484375,21872.3515625,19735.21484375,20718.0625,133501933
